player_id,"last_name, first_name",exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,xwoba,xba,xslg,superstar_similarity,breakout_score,breakout_index
679032,"Rojas, Johan",85.7,4.8,2.5,27.4,0.25,0.22500000000000003,0.292,-9.621439412522903,17.309571428571427,9.230268176243127
679529,"Torkelson, Spencer",90.12,18.96,9.66,44.18,0.3094,0.2258,0.4042,-5.357161515472632,23.408485714285717,14.778791545358212
680574,"McLain, Matt",89.3,13.8,10.8,42.4,0.33199999999999996,0.256,0.436,-4.451689710983499,22.47485714285714,14.396893086704948
680869,"Gelof, Zack",89.2,14.2,8.8,37.2,0.271,0.199,0.347,-7.450626509534012,21.45957142857143,12.786512047139796
681082,"Stott, Bryson",87.44,12.440000000000001,4.04,32.56,0.3072,0.2592,0.3722,-6.695980843829858,19.631228571428572,11.733065746851041
681297,"Cowser, Colton",90.5,13.0,13.600000000000001,46.1,0.326,0.23000000000000004,0.437,-4.738489250257481,23.456142857142854,14.997753224922752
681351,"O'Hoppe, Logan",90.4,15.3,12.0,46.3,0.331,0.251,0.45399999999999996,-3.960989183838816,23.57657142857143,15.315303244848353
681546,"Outman, James",87.9,15.7,11.1,39.9,0.325,0.228,0.396,-5.68521233496095,22.22128571428571,13.849336299511712
681624,"Pages, Andy",88.6,20.8,10.7,40.1,0.321,0.251,0.422,-4.869304680713611,23.027714285714286,14.658608595785916
682626,"Alvarez, Francisco",89.32,9.14,9.14,43.24,0.2954,0.2156,0.3836,-6.544629784583653,21.67637142857143,13.210071064624902
682829,"De La Cruz, Elly",91.56,7.26,11.02,45.78,0.318,0.24,0.4132,-5.30066089741348,22.37017142857143,14.068921730775958
682928,"Abrams, CJ",87.88,14.459999999999999,6.9,38.78,0.313,0.247,0.405,-5.787636816769898,21.283571428571427,13.16220895496903
682998,"Carroll, Corbin",89.58,11.6,7.36,40.839999999999996,0.33199999999999996,0.2518,0.41100000000000003,-5.153246714220271,21.482114285714285,13.491505985733918
683011,"Volpe, Anthony",88.1,10.719999999999999,5.9399999999999995,38.44,0.29000000000000004,0.236,0.35760000000000003,-6.846671882576863,20.58337142857142,12.354358435226935
683146,"Baty, Brett",89.5,6.6,7.7,44.3,0.3,0.237,0.382,-6.331576148070739,21.28842857142857,13.002427155578777
683737,"Busch, Michael",89.9,17.2,11.2,39.9,0.319,0.21699999999999997,0.418,-5.478918637464556,22.736285714285717,14.271724408760635
686217,"Frelick, Sal",83.4,9.7,0.8,19.5,0.278,0.24599999999999997,0.304,-9.781640282420195,16.318285714285715,8.488307915273941
686469,"Pasquantino, Vinnie",91.0,14.6,7.1,46.5,0.331,0.266,0.438,-4.188136955989378,22.890714285714278,14.767058913203181
686676,"Lee, Korey",88.3,9.6,7.5,37.6,0.256,0.21199999999999997,0.338,-7.8550036199258475,20.543714285714284,12.024098914022243
686894,"Wiemer, Joey",89.3,10.5,9.1,39.1,0.289,0.20900000000000002,0.36999999999999994,-6.900122534822989,21.26685714285714,12.8167632395531
687263,"Neto, Zach",88.5,12.3,8.4,38.8,0.317,0.23599999999999996,0.414,-5.743214883171233,21.281,13.173735535048628
687401,"Ortiz, Joey",87.8,9.9,4.6,38.4,0.305,0.234,0.343,-7.038030488366317,20.226,12.046790853490105
690993,"Keith, Colt",87.8,11.3,5.6,35.3,0.311,0.266,0.393,-6.119509705305136,20.138571428571428,12.261147088408457
691023,"Walker, Jordan",89.4,10.2,7.5,42.5,0.33199999999999996,0.267,0.426,-4.897929496844818,21.517857142857142,13.593121150946553
691026,"Winn, Masyn",87.0,13.2,3.7000000000000006,32.7,0.293,0.256,0.358,-7.079687278057646,19.643857142857147,11.626793816582708
691718,"Crow-Armstrong, Pete",88.9,17.2,7.400000000000001,36.8,0.281,0.223,0.367,-6.699020636775197,21.595857142857145,13.10739380896744
693304,"Gonzales, Nick",87.9,13.0,7.9,36.9,0.317,0.27,0.407,-5.477535760223835,20.95628571428572,13.026139271932852
694192,"Chourio, Jackson",89.7,7.6,7.8,44.9,0.328,0.274,0.43000000000000005,-4.966253710962296,21.576,13.61332388671131
694384,"Schanuel, Nolan",86.1,10.3,3.5000000000000004,25.4,0.321,0.258,0.359,-7.576523363010713,18.033999999999995,10.350842991096782
694671,"Langford, Wyatt",89.6,16.6,9.3,43.4,0.331,0.257,0.427,-4.391652481167266,22.844999999999995,14.674004255649816
696285,"Young, Jacob",85.8,4.0,1.6,28.900000000000002,0.286,0.253,0.317,-8.758039190693095,17.308,9.48818824279207
