year,"last_name, first_name",match_name,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,xwoba,xba,xslg
2026,"Bailey, Patrick","Reynolds, Bryan",90.86666666666656,10.953333333333333,10.786666666666747,47.52666666666664,0.35326666666666684,0.26860000000000006,0.47140000000000004
2027,"Bailey, Patrick","Reynolds, Bryan",91.23809523809518,10.97333333333333,11.206666666666706,48.900952380952276,0.3542952380952382,0.2684857142857143,0.4742285714285712
2028,"Bailey, Patrick","Reynolds, Bryan",91.6095238095237,10.993333333333332,11.626666666666665,50.27523809523791,0.3553238095238096,0.2683714285714286,0.4770571428571424
2025,"Arias, Gabriel","Cruz Jr., Nelson",91.26190476190493,9.597619047619048,11.957142857142799,48.711904761904805,0.33899999999999864,0.24640476190476335,0.4494523809523798
2026,"Arias, Gabriel","Cruz Jr., Nelson",90.95952380952394,9.36309523809524,11.485714285714266,48.53452380952382,0.3309999999999995,0.24127380952381117,0.43126190476190374
2027,"Arias, Gabriel","Cruz Jr., Nelson",90.65714285714296,9.128571428571433,11.014285714285734,48.35714285714289,0.32299999999999685,0.2361428571428572,0.41307142857142765
2028,"Arias, Gabriel","Cruz Jr., Nelson",90.35476190476209,8.894047619047626,10.542857142857088,48.179761904761904,0.3149999999999977,0.23101190476190503,0.39488095238095156
2025,"Moreno, Gabriel","LeMahieu, DJ",89.87777777777774,3.830555555555577,5.897222222222354,43.652777777777786,0.3398611111111114,0.2694166666666664,0.41505555555555596
2026,"Moreno, Gabriel","LeMahieu, DJ",89.73111111111109,3.7322222222222194,6.205555555555634,43.614444444444445,0.338344444444445,0.2647666666666666,0.4120888888888894
2027,"Moreno, Gabriel","LeMahieu, DJ",89.58444444444444,3.6338888888888903,6.513888888889028,43.57611111111112,0.33682777777777817,0.2601166666666668,0.40912222222222283
2028,"Moreno, Gabriel","LeMahieu, DJ",89.43777777777774,3.535555555555561,6.822222222222308,43.53777777777778,0.33531111111111134,0.25546666666666695,0.4061555555555554
2025,"Garcia, Maikel","Rosario, Amed",87.76335403726705,5.1360248447205095,4.016149068322989,39.424844720496935,0.2958198757763979,0.26400000000000023,0.3726149068322977
2026,"Garcia, Maikel","Rosario, Amed",87.58571428571429,4.64285714285711,4.057142857142864,39.85714285714289,0.2942857142857145,0.26300000000000034,0.3697142857142852
2027,"Garcia, Maikel","Rosario, Amed",87.40807453416147,4.149689440993711,4.0981366459627395,40.289440993788844,0.2927515527950315,0.262,0.3668136645962736
2028,"Garcia, Maikel","Rosario, Amed",87.23043478260871,3.656521739130426,4.139130434782615,40.7217391304348,0.2912173913043481,0.2610000000000001,0.36391304347826114
2025,"Lopez, Otto","Rosario, Amed",87.76335403726705,5.1360248447205095,4.016149068322989,39.424844720496935,0.2958198757763979,0.26400000000000023,0.3726149068322977
2026,"Lopez, Otto","Rosario, Amed",87.58571428571429,4.64285714285711,4.057142857142864,39.85714285714289,0.2942857142857145,0.26300000000000034,0.3697142857142852
2027,"Lopez, Otto","Rosario, Amed",87.40807453416147,4.149689440993711,4.0981366459627395,40.289440993788844,0.2927515527950315,0.262,0.3668136645962736
2028,"Lopez, Otto","Rosario, Amed",87.23043478260871,3.656521739130426,4.139130434782615,40.7217391304348,0.2912173913043481,0.2610000000000001,0.36391304347826114
2025,"Perdomo, Geraldo","Galvis, Freddy",92.06000000000017,16.25,8.86999999999989,48.73000000000047,0.29350000000000076,0.22170000000000023,0.42530000000000356
2026,"Perdomo, Geraldo","Galvis, Freddy",92.72000000000003,16.56000000000006,9.659999999999854,51.74000000000069,0.2962000000000007,0.22020000000000017,0.43580000000000396
2027,"Perdomo, Geraldo","Galvis, Freddy",93.38000000000011,16.870000000000005,10.449999999999818,54.75,0.2989000000000006,0.21870000000000012,0.4463000000000008
2028,"Perdomo, Geraldo","Galvis, Freddy",94.04000000000019,17.180000000000064,11.240000000000009,57.76000000000022,0.30160000000000053,0.21720000000000006,0.4568000000000012
2025,"Jung, Josh","Upton, Justin",90.1,5.299999999999727,21.34999999999991,58.65000000000009,0.41499999999999915,0.2895000000000003,0.5670000000000002
2026,"Jung, Josh","Upton, Justin",90.08999999999999,4.029999999999745,22.5300000000002,60.690000000000055,0.42409999999999926,0.2950999999999997,0.5794999999999995
2027,"Jung, Josh","Upton, Justin",90.07999999999998,2.7599999999997635,23.710000000000036,62.73000000000002,0.43319999999999936,0.3006999999999991,0.5920000000000023
2028,"Jung, Josh","Upton, Justin",90.07,1.4899999999997817,24.889999999999873,64.76999999999998,0.44229999999999947,0.30630000000000024,0.6045000000000016
2025,"Burleson, Alec","Lindor, Francisco",90.96888888888896,17.522222222222126,11.339999999999918,46.57555555555564,0.35348888888888896,0.2605111111111107,0.4738666666666669
2026,"Burleson, Alec","Lindor, Francisco",91.17222222222227,18.363888888888823,12.116666666666788,47.96388888888896,0.35438888888888886,0.25744444444444436,0.47558333333333325
