"last_name, first_name",match_name,year,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,xwoba,xba,xslg
"Turang, Brice","Swanson, Dansby",2025,88.30000000000001,9.0,8.6,36.22,0.35679999999999995,0.2862,0.4464
"Turang, Brice","Swanson, Dansby",2026,89.4,9.6,15.9,42.92,0.4297999999999999,0.32220000000000004,0.5574
"Turang, Brice","Swanson, Dansby",2027,90.7,9.6,23.200000000000003,51.620000000000005,0.4807999999999999,0.3422,0.6494
"Turang, Brice","Swanson, Dansby",2028,92.9,11.2,29.900000000000006,63.92,0.5367999999999999,0.36819999999999997,0.7474000000000001
"Wells, Austin","McCutchen, Andrew",2025,87.20000000000002,14.7,8.3,36.099999999999994,0.358,0.26699999999999996,0.4529999999999999
"Wells, Austin","McCutchen, Andrew",2026,87.60000000000002,11.499999999999998,8.2,36.29999999999999,0.37499999999999994,0.26899999999999996,0.4399999999999999
"Wells, Austin","McCutchen, Andrew",2027,87.70000000000003,13.099999999999996,7.8999999999999995,35.79999999999999,0.3899999999999999,0.287,0.46699999999999986
"Wells, Austin","McCutchen, Andrew",2028,86.90000000000003,11.099999999999994,8.399999999999999,33.59999999999999,0.39099999999999985,0.26899999999999996,0.44099999999999984
"Suwinski, Jack","Suárez, Eugenio",2025,95.5,22.399999999999995,18.5,56.9,0.367,0.232,0.537
"Suwinski, Jack","Suárez, Eugenio",2026,98.6,25.299999999999994,25.4,65.6,0.37,0.218,0.5980000000000001
"Suwinski, Jack","Suárez, Eugenio",2027,101.49999999999999,28.39999999999999,32.9,78.19999999999999,0.36000000000000004,0.173,0.631
"Suwinski, Jack","Suárez, Eugenio",2028,104.39999999999998,31.89999999999999,41.0,85.89999999999999,0.3340000000000001,0.12699999999999997,0.647
"Miranda, Jose","Pujols, Albert",2025,86.00000000000001,17.299999999999997,2.1000000000000014,34.0,0.255,0.23600000000000004,0.32
"Miranda, Jose","Pujols, Albert",2026,82.70000000000002,18.1,-1.299999999999998,26.5,0.20700000000000002,0.20200000000000007,0.22499999999999998
"Miranda, Jose","Pujols, Albert",2027,79.40000000000002,18.9,-4.6999999999999975,19.0,0.15900000000000003,0.1680000000000001,0.12999999999999995
"Miranda, Jose","Pujols, Albert",2028,76.10000000000002,19.700000000000003,-8.099999999999996,11.5,0.11100000000000004,0.13400000000000012,0.03499999999999992
"Gorman, Nolan","Suárez, Eugenio",2025,94.5,21.060000000000002,19.42,56.06,0.3468,0.2342,0.5349999999999999
"Gorman, Nolan","Suárez, Eugenio",2026,97.6,23.96,26.32,64.75999999999999,0.3498,0.22019999999999998,0.596
"Gorman, Nolan","Suárez, Eugenio",2027,100.49999999999999,27.06,33.82,77.36,0.33980000000000005,0.17519999999999997,0.629
"Gorman, Nolan","Suárez, Eugenio",2028,103.39999999999998,30.56,41.92,85.06,0.3138000000000001,0.12919999999999995,0.645
"Smith, Josh","Cronenworth, Jake",2025,86.8,21.1,2.1,36.2,0.263,0.18699999999999997,0.26499999999999996
"Smith, Josh","Cronenworth, Jake",2026,85.60000000000001,23.799999999999997,-0.6999999999999997,34.400000000000006,0.22400000000000003,0.14899999999999994,0.19199999999999995
"Smith, Josh","Cronenworth, Jake",2027,85.60000000000001,25.2,-0.10000000000000009,36.10000000000001,0.21500000000000008,0.13199999999999992,0.16899999999999993
"Smith, Josh","Cronenworth, Jake",2028,85.60000000000001,26.6,0.49999999999999956,37.80000000000001,0.20600000000000013,0.11499999999999991,0.1459999999999999
"García, Luis","Turner, Trea",2025,89.19999999999999,7.799999999999999,10.7,40.400000000000006,0.375,0.302,0.512
"García, Luis","Turner, Trea",2026,88.39999999999998,9.299999999999999,11.3,44.60000000000001,0.39999999999999997,0.32699999999999996,0.542
"García, Luis","Turner, Trea",2027,86.89999999999998,9.599999999999998,12.100000000000001,44.20000000000001,0.39599999999999996,0.32399999999999995,0.5189999999999999
"García, Luis","Turner, Trea",2028,86.39999999999998,12.699999999999998,13.700000000000001,44.40000000000001,0.38699999999999996,0.31099999999999994,0.5109999999999999
"Freeman, Tyler","Gardner, Brett",2025,87.60000000000001,15.9,4.6,41.6,0.324,0.253,0.3970000000000001
"Freeman, Tyler","Gardner, Brett",2026,89.10000000000001,17.9,5.0,50.5,0.306,0.22699999999999998,0.3860000000000001
"Freeman, Tyler","Gardner, Brett",2027,90.4,24.3,6.699999999999999,59.2,0.294,0.20999999999999996,0.40800000000000014
"Freeman, Tyler","Gardner, Brett",2028,91.7,30.700000000000003,8.399999999999999,67.9,0.282,0.19299999999999995,0.43000000000000016
"Bailey, Patrick","Reynolds, Bryan",2025,92.16,14.540000000000001,7.500000000000001,43.66,0.3886,0.3204,0.5268
"Bailey, Patrick","Reynolds, Bryan",2026,94.86,16.340000000000003,5.200000000000002,48.26,0.4036,0.3414,0.5398000000000001
"Bailey, Patrick","Reynolds, Bryan",2027,98.26,17.040000000000003,6.100000000000002,57.26,0.4496,0.39339999999999997,0.6268
"Bailey, Patrick","Reynolds, Bryan",2028,100.66000000000001,16.240000000000002,5.500000000000003,64.36,0.4856,0.4354,0.6868
"Arias, Gabriel","Cruz Jr., Nelson",2025,89.7,4.900000000000001,7.6,42.199999999999996,0.312,0.23899999999999996,0.409
"Arias, Gabriel","Cruz Jr., Nelson",2026,89.00000000000001,6.500000000000003,4.9,41.5,0.311,0.24099999999999996,0.37899999999999995
"Arias, Gabriel","Cruz Jr., Nelson",2027,88.10000000000002,8.400000000000002,8.299999999999999,40.6,0.32899999999999996,0.2519999999999999,0.421
