"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Muncy, Max","571970","67","16.7",41.8,"108.6","90.1","101.5","96.4","78.5","433","190","433","33",49.3,"7",10.4,5.6
"Acuña, Luisangel","682668","67","5.1",32.8,"110.3","89.4","99.9","89","91.4","334","124",,"25",37.3,"0",0,0
"Smith, Will","669257","67","23.9",41.8,"107.7","90.8","100","93.7","87.3","419","208","395","31",46.3,"10",14.9,9.3
"Bader, Harrison","664056","66","12.7",30.3,"109.8","86.9","99.8","94.4","83.4","394","151","376","29",43.9,"7",10.6,6.7
"Cabrera, Oswaldo","665828","66","7.9",30.3,"107.5","88.9","97.6","90","88.8","382","130","382","23",34.8,"0",0,0
"Grisham, Trent","663757","66","20.2",36.4,"109.4","92","100.7","95.9","86.7","412","199","383","33",50,"10",15.2,10.5
"Holliday, Jackson","702616","66","10.4",37.9,"109.6","90","100.7","91.8","88.5","425","162","404","28",42.4,"5",7.6,5.2
"Rocchio, Brayan","677587","65","8.3",33.8,"103.4","85.9","96.6","89.4","84","378","153",,"19",29.2,"2",3.1,2.2
"Dingler, Dillon","693307","65","17",41.5,"110.4","90.3","101.2","93.8","84.1","410","186","399","31",47.7,"7",10.8,7.4
"Conforto, Michael","624424","65","9.1",32.3,"108.4","88.8","99.4","90.6","88","419","148","408","26",40,"4",6.2,3.3
"Adell, Jo","666176","65","13.2",29.2,"111.7","89.1","101.4","90.3","90.1","408","151","395","28",43.1,"7",10.8,7.3
"Pederson, Joc","592626","64","13.1",23.4,"109.3","90.5","99.2","93.9","89.6","391","148",,"25",39.1,"4",6.3,4.2
